Wavelength,Sample_1_Absorbance,Sample_2_Absorbance
619,0.00929,0.0685
620,0.00917,0.0649
621,0.00916,0.0617
622,0.00906,0.0587
623,0.00887,0.056
624,0.00905,0.0538
625,0.00909,0.0517
626,0.00915,0.0498
627,0.0091,0.0481
628,0.00922,0.0465
629,0.00912,0.0452
630,0.00925,0.0439
631,0.00939,0.0428
632,0.00973,0.0418
633,0.00993,0.0407
634,0.0105,0.04
635,0.0109,0.0393
636,0.0112,0.0387
637,0.0115,0.0383
638,0.0119,0.0379
639,0.0119,0.0376
640,0.0122,0.0373
641,0.0124,0.0371
642,0.0129,0.0369
643,0.0134,0.0369
644,0.014,0.0367
645,0.0143,0.0367
646,0.0149,0.0367
647,0.0153,0.0366
648,0.0157,0.0366
649,0.0162,0.0367
650,0.0169,0.0368
651,0.0172,0.0371
652,0.0178,0.0372
653,0.0183,0.0375
